166022740,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Saturday,01/23/2016 12:00:00 AM,00:01,TARAVAL,NONE,41ST AV / NORIEGA ST,-122.500045623991,37.7531982863323,"(37.7531982863323, -122.500045623991)"
160064223,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,01/23/2016 12:00:00 AM,02:02,SOUTHERN,NONE,1000 Block of MARKET ST,-122.411339562557,37.7812707434494,"(37.7812707434494, -122.411339562557)"
160065306,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,01/23/2016 12:00:00 AM,12:00,TENDERLOIN,NONE,400 Block of TURK ST,-122.416342977622,37.7824465135592,"(37.7824465135592, -122.416342977622)"
160065453,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,01/23/2016 12:00:00 AM,13:16,SOUTHERN,NONE,900 Block of MARKET ST,-122.408421116922,37.7835699386918,"(37.7835699386918, -122.408421116922)"
160065481,SECONDARY CODES,DOMESTIC VIOLENCE,Saturday,01/23/2016 12:00:00 AM,10:00,TENDERLOIN,NONE,100 Block of MASON ST,-122.40947349732,37.784816365102,"(37.784816365102, -122.40947349732)"
160065481,ASSAULT,THREATS AGAINST LIFE,Saturday,01/23/2016 12:00:00 AM,10:00,TENDERLOIN,NONE,100 Block of MASON ST,-122.40947349732,37.784816365102,"(37.784816365102, -122.40947349732)"
160065889,ROBBERY,"ROBBERY, ARMED WITH A DANGEROUS WEAPON",Saturday,01/23/2016 12:00:00 AM,04:00,NORTHERN,NONE,1200 Block of POLK ST,-122.420094921042,37.7879983893852,"(37.7879983893852, -122.420094921042)"
160066122,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,01/23/2016 12:00:00 AM,17:38,TENDERLOIN,NONE,100 Block of TAYLOR ST,-122.410928353347,37.7836778741124,"(37.7836778741124, -122.410928353347)"
160066809,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Saturday,01/23/2016 12:00:00 AM,20:44,TARAVAL,"ARREST, BOOKED",100 Block of BEVERLY ST,-122.471573193071,37.7187755921647,"(37.7187755921647, -122.471573193071)"
160066809,OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Saturday,01/23/2016 12:00:00 AM,20:44,TARAVAL,"ARREST, BOOKED",100 Block of BEVERLY ST,-122.471573193071,37.7187755921647,"(37.7187755921647, -122.471573193071)"
160066809,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Saturday,01/23/2016 12:00:00 AM,20:44,TARAVAL,"ARREST, BOOKED",100 Block of BEVERLY ST,-122.471573193071,37.7187755921647,"(37.7187755921647, -122.471573193071)"
160064198,NON-CRIMINAL,FOUND PROPERTY,Saturday,01/23/2016 12:00:00 AM,01:14,CENTRAL,NONE,200 Block of GEARY ST,-122.407413025963,37.7874074125228,"(37.7874074125228, -122.407413025963)"
160064245,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Saturday,01/23/2016 12:00:00 AM,02:00,TENDERLOIN,"ARREST, BOOKED",100 Block of HYDE ST,-122.415533007999,37.7821372997842,"(37.7821372997842, -122.415533007999)"
160064245,ASSAULT,INFLICT INJURY ON COHABITEE,Saturday,01/23/2016 12:00:00 AM,02:00,TENDERLOIN,"ARREST, BOOKED",100 Block of HYDE ST,-122.415533007999,37.7821372997842,"(37.7821372997842, -122.415533007999)"
160064245,SECONDARY CODES,DOMESTIC VIOLENCE,Saturday,01/23/2016 12:00:00 AM,02:00,TENDERLOIN,"ARREST, BOOKED",100 Block of HYDE ST,-122.415533007999,37.7821372997842,"(37.7821372997842, -122.415533007999)"
160064245,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Saturday,01/23/2016 12:00:00 AM,02:00,TENDERLOIN,"ARREST, BOOKED",100 Block of HYDE ST,-122.415533007999,37.7821372997842,"(37.7821372997842, -122.415533007999)"
160064267,ASSAULT,BATTERY,Saturday,01/23/2016 12:00:00 AM,01:30,MISSION,NONE,4100 Block of 18TH ST,-122.435563016294,37.760801062884,"(37.760801062884, -122.435563016294)"
160064267,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Saturday,01/23/2016 12:00:00 AM,01:30,MISSION,NONE,4100 Block of 18TH ST,-122.435563016294,37.760801062884,"(37.760801062884, -122.435563016294)"
160064308,LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Saturday,01/23/2016 12:00:00 AM,00:40,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)"
160064314,LARCENY/THEFT,ATTEMPTED THEFT OF A BICYCLE,Saturday,01/23/2016 12:00:00 AM,02:35,TARAVAL,NONE,400 Block of RAMSELL ST,-122.466314132362,37.7188118558665,"(37.7188118558665, -122.466314132362)"
160064455,ASSAULT,BATTERY,Saturday,01/23/2016 12:00:00 AM,05:20,NORTHERN,NONE,1100 Block of LARKIN ST,-122.418580508889,37.7881906054546,"(37.7881906054546, -122.418580508889)"
160064477,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Saturday,01/23/2016 12:00:00 AM,06:45,SOUTHERN,NONE,100 Block of 11TH ST,-122.415766785425,37.7733417484857,"(37.7733417484857, -122.415766785425)"
160064784,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,01/23/2016 12:00:00 AM,09:33,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)"
160064950,LARCENY/THEFT,ATTEMPTED THEFT FROM A BUILDING,Saturday,01/23/2016 12:00:00 AM,01:00,NORTHERN,NONE,600 Block of STEINER ST,-122.432805878401,37.7751600091535,"(37.7751600091535, -122.432805878401)"
160064950,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,01/23/2016 12:00:00 AM,01:00,NORTHERN,NONE,600 Block of STEINER ST,-122.432805878401,37.7751600091535,"(37.7751600091535, -122.432805878401)"
160065033,SUSPICIOUS OCC,"SUSPICIOUS OCCURRENCE, POSSIBLE SHOTS FIRED",Saturday,01/23/2016 12:00:00 AM,01:56,TARAVAL,NONE,1300 Block of NORIEGA ST,-122.478088507183,37.7541139484437,"(37.7541139484437, -122.478088507183)"
160065083,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Saturday,01/23/2016 12:00:00 AM,06:32,NORTHERN,NONE,800 Block of FILLMORE ST,-122.431549683056,37.7772301113523,"(37.7772301113523, -122.431549683056)"
160065221,ASSAULT,CHILD ABUSE (PHYSICAL),Saturday,01/23/2016 12:00:00 AM,12:10,BAYVIEW,NONE,1600 Block of LASALLE AV,-122.390244392372,37.7373174011428,"(37.7373174011428, -122.390244392372)"
160065221,ASSAULT,INFLICT INJURY ON COHABITEE,Saturday,01/23/2016 12:00:00 AM,12:10,BAYVIEW,NONE,1600 Block of LASALLE AV,-122.390244392372,37.7373174011428,"(37.7373174011428, -122.390244392372)"
160065221,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Saturday,01/23/2016 12:00:00 AM,12:10,BAYVIEW,NONE,1600 Block of LASALLE AV,-122.390244392372,37.7373174011428,"(37.7373174011428, -122.390244392372)"
160065237,OTHER OFFENSES,FALSE REPORT OF BOMB,Saturday,01/23/2016 12:00:00 AM,02:00,SOUTHERN,NONE,100 Block of NEWMONTGOMERY ST,-122.399289033567,37.786383021575,"(37.786383021575, -122.399289033567)"
160065287,ASSAULT,CHILD ABUSE (PHYSICAL),Saturday,01/23/2016 12:00:00 AM,12:30,TARAVAL,"ARREST, BOOKED",1100 Block of CAPITOL AV,-122.459276311131,37.7227622431119,"(37.7227622431119, -122.459276311131)"
160065287,ASSAULT,INFLICT INJURY ON COHABITEE,Saturday,01/23/2016 12:00:00 AM,12:30,TARAVAL,"ARREST, BOOKED",1100 Block of CAPITOL AV,-122.459276311131,37.7227622431119,"(37.7227622431119, -122.459276311131)"
160065378,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Saturday,01/23/2016 12:00:00 AM,12:19,TENDERLOIN,NONE,0 Block of GRANT AV,-122.404858516174,37.7872026250974,"(37.7872026250974, -122.404858516174)"
160065390,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Saturday,01/23/2016 12:00:00 AM,13:02,TENDERLOIN,"ARREST, BOOKED",100 Block of MCALLISTER ST,-122.41452262258,37.7808752665663,"(37.7808752665663, -122.41452262258)"
160065390,WARRANTS,WARRANT ARREST,Saturday,01/23/2016 12:00:00 AM,13:02,TENDERLOIN,"ARREST, BOOKED",100 Block of MCALLISTER ST,-122.41452262258,37.7808752665663,"(37.7808752665663, -122.41452262258)"
160065447,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Saturday,01/23/2016 12:00:00 AM,13:20,SOUTHERN,"ARREST, BOOKED",1300 Block of MARKET ST,-122.416818891994,37.7769362014881,"(37.7769362014881, -122.416818891994)"
160065613,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Saturday,01/23/2016 12:00:00 AM,14:05,SOUTHERN,"ARREST, BOOKED",0 Block of UNITEDNATIONS PZ,-122.414317857881,37.7799444052046,"(37.7799444052046, -122.414317857881)"
160065613,WARRANTS,WARRANT ARREST,Saturday,01/23/2016 12:00:00 AM,14:05,SOUTHERN,"ARREST, BOOKED",0 Block of UNITEDNATIONS PZ,-122.414317857881,37.7799444052046,"(37.7799444052046, -122.414317857881)"
160065732,ROBBERY,ROBBERY OF A CHAIN STORE WITH A KNIFE,Saturday,01/23/2016 12:00:00 AM,14:50,TARAVAL,NONE,1300 Block of 46TH AV,-122.505923256341,37.761339931633,"(37.761339931633, -122.505923256341)"
160065914,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Saturday,01/23/2016 12:00:00 AM,15:56,TENDERLOIN,"ARREST, BOOKED",100 Block of LEAVENWORTH ST,-122.413893155951,37.782346520673,"(37.782346520673, -122.413893155951)"
160065970,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Saturday,01/23/2016 12:00:00 AM,15:15,NORTHERN,NONE,1800 Block of BUSH ST,-122.427699766322,37.7877002417804,"(37.7877002417804, -122.427699766322)"
160065992,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,01/23/2016 12:00:00 AM,16:00,TARAVAL,NONE,2200 Block of 32ND AV,-122.489744247466,37.745219775282,"(37.745219775282, -122.489744247466)"
160066003,LARCENY/THEFT,PETTY THEFT BICYCLE,Saturday,01/23/2016 12:00:00 AM,16:50,BAYVIEW,NONE,800 Block of ARKANSAS ST,-122.397709507762,37.755356261721,"(37.755356261721, -122.397709507762)"
